Country,Code,Year,New Cases
Tajikistan,TJK,2019,527.3496
Tanzania,TZA,2019,55988.863
Thailand,THA,2019,28006.75
Togo,TGO,2019,4117.003
Tokelau,TKL,2019,0.35104647
Tonga,TON,2019,4.5044603
Trinidad and Tobago,TTO,2019,437.06882
Tunisia,TUN,2019,295.8996
Turkey,TUR,2019,444.87354
Turkmenistan,TKM,2019,270.074
Tuvalu,TUV,2019,3.1374645
Uganda,UGA,2019,64692.145
Ukraine,UKR,2019,33620.082
United Arab Emirates,ARE,2019,203.29845
United Kingdom,GBR,2019,5459.112
United States,USA,2019,67134.02
United States Virgin Islands,VIR,2019,19.624147
Uruguay,URY,2019,859.178
Uzbekistan,UZB,2019,2536.8994
Vanuatu,VUT,2019,48.636208
Venezuela,VEN,2019,6353.949
Vietnam,VNM,2019,15076.9795
Yemen,YEM,2019,891.3194
Zambia,ZMB,2019,48808.508
Zimbabwe,ZWE,2019,31509.064
